X,Y,Location_notes,Encounter_type,Date_of_observation,Comments,Review_status
-79.7388975,43.43466648,Third Line and Merchants Trail,Encounter,4/8/2015,,Complete
-79.72726609,43.3803581,Creek Path Woods,Encounter,4/13/2015,,Complete
-79.69175434,43.49394725,Bayshire Woods Park,Encounter,4/13/2015,,Complete
-79.70909039,43.42145308,535 Valley Dr,Encounter,4/20/2015,,Complete
-79.68759311,43.41867388,Westdale and Lisonally Crt,Encounter,4/24/2015,,Complete
-79.70533418,43.40342994,158 Ulster Dr,Encounter,4/26/2015,,Complete
-79.7069607,43.4051851,Hixon and Solingate,Encounter,4/30/2015,,Complete
-79.72828673,43.4010376,Bronte Rd and Valhalla Crt,Encounter,4/30/2015,,Complete
-79.74167273,43.4461247,Taplow Creek Trail,Encounter,3/1/2015,,Complete
-79.72788712,43.43505386,Pilgrim Wood Public School,Encounter,5/6/2015,,Complete
-79.7209533,43.44419762,Monks Passage,Encounter,5/6/2015,,Complete
-79.74550111,43.45480047,Hilltop Lane and Fourth line,Encounter,5/9/2015,,Complete
-79.70324033,43.40833424,Hixon St and Third Line,Encounter,5/13/2015,,Complete
-79.69093531,43.4252588,Rebecca St and Fourth line,Encounter,5/13/2015,,Complete
-79.71645451,43.40940301,Stanfield Dr and Stanway,Encounter,5/13/2015,,Complete
-79.72521972,43.4178302,Bronte Go Station,Encounter,5/13/2015,,Complete
-79.72111046,43.43968119,Nottinghill Park,Encounter,5/14/2015,,Complete
-79.72313389,43.46085339,Neyagawa and Munn's Blvd,Encounter,5/15/2015,,Complete
-79.67244707,43.49336197,The Canadian Rd and Ford Dr,Encounter,5/16/2015,,Complete
-79.68726267,43.41853937,122 Lisonally Crt,Encounter,5/20/2015,,Complete
-79.69909179,43.40220698,2067 Marine Dr,Encounter,5/20/2015,,Complete
-79.71768913,43.40007275,Rebecca St and Jones St,Encounter,5/22/2015,,Complete
-79.70626078,43.40583774,Hixon St and Sabel St,Encounter,5/23/2015,,Complete
-79.71055503,43.49551677,Agram Dr,Encounter,5/23/2015,,Complete
-79.73020877,43.37651614,Burloak and Randolph,Encounter,5/25/2015,,Complete
-79.62818949,43.48330037,Lakeshore and Winston Churchill,Encounter,5/26/2015,,Complete
-79.66546343,43.49310338,Kingsway and Ford Dr,Encounter,6/1/2015,,Complete
-79.6534401,43.47613812,393 Maplegrove Dr,Encounter,6/2/2015,,Complete
-79.72044894,43.38132451,Shell Park,Encounter,6/2/2015,,Complete
-79.72191096,43.38222385,Shell Park,Encounter,11/1/2014,,Complete
-79.68646038,43.51741692,Winston Park Dr and Dundas,Encounter,5/20/2015,,Complete
-79.69378028,43.41514393,Sedgewick Forest entrance,Encounter,6/7/2015,,Complete
-79.66564908,43.49340583,Kingsway and Ford Dr,Encounter,5/26/2015,,Complete
-79.71987955,43.48796667,Dundas and Trafalgar,Encounter,6/6/2015,,Complete
-79.71308718,43.40452442,Rebecca St and Sunset Dr,Encounter,6/9/2015,,Complete
-79.72299502,43.4111409,Speers Rd,Encounter,6/9/2015,,Complete
-79.70056348,43.40637823,Venetia Dr and Third Line,Encounter,6/11/2015,,Complete
-79.70695159,43.40539628,St. Anne's Elementary School,Encounter,6/11/2015,,Complete
-79.70723076,43.40514252,2123 Solingate,Encounter,6/11/2015,,Complete
